,Industry,Date,ret3,ret10,ret20
66,Semiconductor,2023-01-25,-0.0006040088283452844,0.0324231547939277,0.05725611632653327
67,Semiconductor,2023-02-20,0.016631679769816776,0.045960663943451385,0.049230974426038465
68,Transport,2022-02-24,0.0056613167245639015,-0.0345423263155417,0.029212481266267742
69,Transport,2022-02-25,0.004716731451415601,-0.045403126412285166,0.02239532050909343
70,Transport,2022-03-02,-0.02975863238158246,-0.006277919577601931,0.0021304915760873566
71,Transport,2022-03-06,0.02222408580821626,0.06375480758180944,0.030385401738390733
72,Transport,2022-03-09,0.009600598002220906,0.02738828207541196,0.016943068010827567
73,Transport,2022-03-16,-0.014142439698181221,-0.03336940584341871,-0.09356075822215393
74,Transport,2022-04-01,-0.01484861507788493,-0.05261267549610549,0.02535645622239535
75,Transport,2022-04-14,-0.0008153995165274541,0.042572581468993675,0.05139198585212834
